Derivations of Decision Variables, No. Checked UP Clauses, Time of Execution, Unit Propagations, Algorithm, Benchmark, Date of Run, Log File
3055.9, 127260.6, 0.7063112289000856, 27962.7, DPLL.v5.iter, uf75-325, "08/11/2022, 13:12:08", logs/result_logs/DPLL.v5.iter_uf75-325_2022_08_11_13_12_01
4893.8, 214306.7, 1.0733630489001371, 46776.3, DPLL.v5.iter, uuf75-325, "08/11/2022, 13:12:20", logs/result_logs/DPLL.v5.iter_uuf75-325_2022_08_11_13_12_10
78.2, 511.6, 0.005630951999046374, 231.6, DPLL.v5.iter, task1, "08/11/2022, 13:12:21", logs/result_logs/DPLL.v5.iter_task1_2022_08_11_13_12_20
9358, 494468.3, 2.440328592700098, 108533.2, DPLL.v5.iter, uf100-430, "08/11/2022, 13:12:45", logs/result_logs/DPLL.v5.iter_uf100-430_2022_08_11_13_12_21
53648.8, 2688577.8, 14.160221259000172, 601712.9, DPLL.v5.iter, uuf100-430, "08/11/2022, 13:15:08", logs/result_logs/DPLL.v5.iter_uuf100-430_2022_08_11_13_12_46
3055.9, 127260.6, 0.683795941399876, 27962.7, DPLL.v5, uf75-325, "08/11/2022, 13:08:18", logs/result_logs/DPLL.v5_uf75-325_2022_08_11_13_08_11
4893.8, 214306.7, 1.1841042592997837, 46776.3, DPLL.v5, uuf75-325, "08/11/2022, 13:08:30", logs/result_logs/DPLL.v5_uuf75-325_2022_08_11_13_08_18
78.2, 511.6, 0.005455790599808097, 231.6, DPLL.v5, task1, "08/11/2022, 13:08:30", logs/result_logs/DPLL.v5_task1_2022_08_11_13_08_30
9358, 494468.3, 3.1643511736998335, 108533.2, DPLL.v5, uf100-430, "08/11/2022, 13:09:02", logs/result_logs/DPLL.v5_uf100-430_2022_08_11_13_08_30
53648.8, 2688577.8, 15.77473290209964, 601712.9, DPLL.v5, uuf100-430, "08/11/2022, 13:11:40", logs/result_logs/DPLL.v5_uuf100-430_2022_08_11_13_09_02
3055.9, 55426.1, 0.44846299969976827, 28225.3, Watched Literals.v6, uf75-325, "08/11/2022, 16:14:25", logs/result_logs/Watched Literals.v6_uf75-325_2022_08_11_16_14_20
4893.8, 86604.3, 0.6857843743004196, 46500.2, Watched Literals.v6, uuf75-325, "08/11/2022, 16:14:32", logs/result_logs/Watched Literals.v6_uuf75-325_2022_08_11_16_14_25
78.2, 480, 0.004036784399067983, 231.6, Watched Literals.v6, task1, "08/11/2022, 16:14:32", logs/result_logs/Watched Literals.v6_task1_2022_08_11_16_14_32
9358, 205366, 1.5140237766001519, 109167.6, Watched Literals.v6, uf100-430, "08/11/2022, 16:14:48", logs/result_logs/Watched Literals.v6_uf100-430_2022_08_11_16_14_33
53648.8, 1098449.5, 9.634765401200275, 598505.8, Watched Literals.v6, uuf100-430, "08/11/2022, 16:16:25", logs/result_logs/Watched Literals.v6_uuf100-430_2022_08_11_16_14_48
3055.9, 55426.1, 0.40725321020036065, 28225.3, Watched Literals.v6.iter, uf75-325, "08/11/2022, 16:34:08", logs/result_logs/Watched Literals.v6.iter_uf75-325_2022_08_11_16_34_04
4893.8, 86604.3, 0.6868442047994904, 46500.2, Watched Literals.v6.iter, uuf75-325, "08/11/2022, 16:34:15", logs/result_logs/Watched Literals.v6.iter_uuf75-325_2022_08_11_16_34_08
78.2, 480, 0.003968653800257016, 231.6, Watched Literals.v6.iter, task1, "08/11/2022, 16:34:16", logs/result_logs/Watched Literals.v6.iter_task1_2022_08_11_16_34_16
9358, 205366, 1.5543729359997087, 109167.6, Watched Literals.v6.iter, uf100-430, "08/11/2022, 16:34:32", logs/result_logs/Watched Literals.v6.iter_uf100-430_2022_08_11_16_34_16
53648.8, 1098449.5, 9.247562066399405, 598505.8, Watched Literals.v6.iter, uuf100-430, "08/11/2022, 16:36:05", logs/result_logs/Watched Literals.v6.iter_uuf100-430_2022_08_11_16_34_33
